snapshot_id,coingecko_id,token_symbol,decision_ts,price_usd_t,volume_24h_usd,market_cap_usd,market_cap_rank,category,primary_exchange,hist_prices_30d,ath_change_percentage,price_change_percentage_30d,research_notes,news_score,price_usd_t90,return_90d,positive_90d_return
chainlink_2026-06-01,chainlink,LINK,2026-06-01T00:00:00Z,9.136118543478487,193588036.1895749,6642871522.767506,7,Infrastructure,coinbase_international,"[9.09444643, 9.17330405, 9.12232243, 9.35316461, 9.76586886, 9.99635024, 9.85284685, 10.34801841, 10.37381507, 10.70979968, 10.5813918, 10.28082565, 10.21293415, 10.47485773, 10.06731099, 9.71445284, 9.56198086, 9.60027545, 9.43963981, 9.62447849, 9.73938907, 9.41127222, 9.55147164, 9.4250194, 9.49260385, 9.37668743, 9.12427945, 8.99482142, 9.01366321, 9.18956723]",-14.693842855804762,0.45821494476288027,NULL,-999,11.455810210166169,0.25390341156896623,1
chainlink_2026-06-08,chainlink,LINK,2026-06-08T00:00:00Z,7.9085060154893645,314050879.3674348,5750274489.972583,7,Infrastructure,coinbase_international,"[10.34801841, 10.37381507, 10.70979968, 10.5813918, 10.28082565, 10.21293415, 10.47485773, 10.06731099, 9.71445284, 9.56198086, 9.60027545, 9.43963981, 9.62447849, 9.73938907, 9.41127222, 9.55147164, 9.4250194, 9.49260385, 9.37668743, 9.12427945, 8.99482142, 9.01366321, 9.18956723, 9.13611854, 9.04441507, 8.36458283, 8.3278633, 8.00632326, 7.36105384, 7.39155929]",-26.15635910123766,-23.57468164490878,NULL,-999,12.047500928730749,0.5233598994721471,1
polkadot_2025-10-20,polkadot,DOT,2025-10-20T00:00:00Z,3.0083903429266887,183942508.4199553,4580016735.275704,10,Smart Contract Platform,kucoin,"[4.35955951, 4.35606014, 4.26740711, 4.03805634, 3.97079298, 3.99412474, 3.82499571, 3.92260159, 3.89189717, 3.99720038, 3.98393226, 3.90840943, 4.12521861, 4.30871978, 4.32166685, 4.19808935, 4.13327458, 4.4087368, 4.14668478, 4.19624892, 4.07591577, 2.98361929, 2.99991235, 3.24022287, 3.37746376, 3.25004158, 3.13835476, 3.01547439, 2.89381151, 2.93346103]",-31.762986164104756,-30.99324970661379,NULL,-999,2.180926172259167,-0.27505212965898895,0
polkadot_2025-10-27,polkadot,DOT,2025-10-27T00:00:00Z,3.195785292029884,157392886.84201932,4867056052.057045,10,Smart Contract Platform,kucoin,"[3.92260159, 3.89189717, 3.99720038, 3.98393226, 3.90840943, 4.12521861, 4.30871978, 4.32166685, 4.19808935, 4.13327458, 4.4087368, 4.14668478, 4.19624892, 4.07591577, 2.98361929, 2.99991235, 3.24022287, 3.37746376, 3.25004158, 3.13835476, 3.01547439, 2.89381151, 2.93346103, 3.00839034, 3.08590007, 3.00584583, 2.91878683, 3.00257283, 3.07937248, 3.09129134]",-27.512450071008665,-18.52893494392285,NULL,-999,1.9347246559135762,-0.39460117651249127,0
polkadot_2025-11-03,polkadot,DOT,2025-11-03T00:00:00Z,2.986193710677377,202969215.2630773,4546453350.566654,10,Smart Contract Platform,kucoin,"[4.32166685, 4.19808935, 4.13327458, 4.4087368, 4.14668478, 4.19624892, 4.07591577, 2.98361929, 2.99991235, 3.24022287, 3.37746376, 3.25004158, 3.13835476, 3.01547439, 2.89381151, 2.93346103, 3.00839034, 3.08590007, 3.00584583, 2.91878683, 3.00257283, 3.07937248, 3.09129134, 3.19578529, 3.13944022, 3.04959124, 3.07913876, 2.87037073, 2.88119219, 2.96767638]",-32.26645537163887,-30.901806851816403,NULL,-999,1.6843277515043777,-0.4359616573158239,0
polkadot_2025-11-10,polkadot,DOT,2025-11-10T00:00:00Z,3.231751612978166,424627110.9140815,5278472374.601337,10,Smart Contract Platform,kucoin,"[2.98361929, 2.99991235, 3.24022287, 3.37746376, 3.25004158, 3.13835476, 3.01547439, 2.89381151, 2.93346103, 3.00839034, 3.08590007, 3.00584583, 2.91878683, 3.00257283, 3.07937248, 3.09129134, 3.19578529, 3.13944022, 3.04959124, 3.07913876, 2.87037073, 2.88119219, 2.96767638, 2.98619371, 2.5789833, 2.51193801, 2.67006137, 2.66506731, 3.25890678, 3.25065336]",-4.314247472526544,8.316487394979166,NULL,-999,1.3745532036833368,-0.5746723856612729,0
polkadot_2025-11-17,polkadot,DOT,2025-11-17T00:00:00Z,2.786238382410924,218781455.8849203,4573116337.5631,10,Smart Contract Platform,kucoin,"[2.89381151, 2.93346103, 3.00839034, 3.08590007, 3.00584583, 2.91878683, 3.00257283, 3.07937248, 3.09129134, 3.19578529, 3.13944022, 3.04959124, 3.07913876, 2.87037073, 2.88119219, 2.96767638, 2.98619371, 2.5789833, 2.51193801, 2.67006137, 2.66506731, 3.25890678, 3.25065336, 3.23175161, 3.26363754, 3.05797662, 2.92275203, 2.85144004, 2.81306794, 2.83000018]",-14.627823961623921,-3.717350927469154,NULL,-999,1.4262726690863712,-0.48810099017722175,0
polkadot_2025-11-24,polkadot,DOT,2025-11-24T00:00:00Z,2.2541569147837723,162451459.23364642,3700216417.657502,11,Smart Contract Platform,kucoin,"[3.07937248, 3.09129134, 3.19578529, 3.13944022, 3.04959124, 3.07913876, 2.87037073, 2.88119219, 2.96767638, 2.98619371, 2.5789833, 2.51193801, 2.67006137, 2.66506731, 3.25890678, 3.25065336, 3.23175161, 3.26363754, 3.05797662, 2.92275203, 2.85144004, 2.81306794, 2.83000018, 2.78623838, 2.66048407, 2.75343317, 2.68825594, 2.54015733, 2.34701499, 2.30953466]",-30.93114998275087,-26.79817293426231,NULL,-999,1.3628005147403208,-0.395427840092913,0
polkadot_2025-12-01,polkadot,DOT,2025-12-01T00:00:00Z,2.215505192669298,86690563.20227116,3644493279.9697633,11,Smart Contract Platform,kucoin,"[2.88119219, 2.96767638, 2.98619371, 2.5789833, 2.51193801, 2.67006137, 2.66506731, 3.25890678, 3.25065336, 3.23175161, 3.26363754, 3.05797662, 2.92275203, 2.85144004, 2.81306794, 2.83000018, 2.78623838, 2.66048407, 2.75343317, 2.68825594, 2.54015733, 2.34701499, 2.30953466, 2.25415691, 2.34025691, 2.29596512, 2.343848, 2.33725527, 2.28499882, 2.25948744]",-32.11546416253329,-23.10456750713191,NULL,-999,1.6678381818470118,-0.24719734922509606,0
polkadot_2025-12-08,polkadot,DOT,2025-12-08T00:00:00Z,2.090554247440729,171549643.76295626,3431877939.290121,10,Smart Contract Platform,kucoin,"[3.25890678, 3.25065336, 3.23175161, 3.26363754, 3.05797662, 2.92275203, 2.85144004, 2.81306794, 2.83000018, 2.78623838, 2.66048407, 2.75343317, 2.68825594, 2.54015733, 2.34701499, 2.30953466, 2.25415691, 2.34025691, 2.29596512, 2.343848, 2.33725527, 2.28499882, 2.25948744, 2.21550519, 2.0437824, 2.25015452, 2.36647032, 2.27317622, 2.12436658, 2.12881163]",-35.944043281806096,-35.85105722105902,NULL,-999,1.4493243824340831,-0.3067272068120901,0
polkadot_2025-12-15,polkadot,DOT,2025-12-15T00:00:00Z,1.9550710845765455,166857386.90986758,3215967772.8487573,11,Smart Contract Platform,kucoin,"[2.81306794, 2.83000018, 2.78623838, 2.66048407, 2.75343317, 2.68825594, 2.54015733, 2.34701499, 2.30953466, 2.25415691, 2.34025691, 2.29596512, 2.343848, 2.33725527, 2.28499882, 2.25948744, 2.21550519, 2.0437824, 2.25015452, 2.36647032, 2.27317622, 2.12436658, 2.12881163, 2.09055425, 2.13147098, 2.29239787, 2.19401898, 2.06571589, 2.01347512, 2.03848572]",-30.91622045262692,-30.50039571740859,NULL,-999,1.4166071615716072,-0.2754191022786089,0
polkadot_2025-12-22,polkadot,DOT,2025-12-22T00:00:00Z,1.802675632243267,120480819.45777076,2968148607.5838075,11,Smart Contract Platform,kucoin,"[2.34701499, 2.30953466, 2.25415691, 2.34025691, 2.29596512, 2.343848, 2.33725527, 2.28499882, 2.25948744, 2.21550519, 2.0437824, 2.25015452, 2.36647032, 2.27317622, 2.12436658, 2.12881163, 2.09055425, 2.13147098, 2.29239787, 2.19401898, 2.06571589, 2.01347512, 2.03848572, 1.95507108, 1.90139834, 1.8972216, 1.81255031, 1.75873805, 1.84870775, 1.83275688]",-23.824287311464165,-23.19283673815633,NULL,-999,1.4550975798630525,-0.19281230974852925,0
